@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":185:13:185:19|Object PWM_CH1 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":186:13:186:19|Object PWM_CH2 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":187:13:187:19|Object PWM_CH3 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":188:13:188:19|Object PWM_CH4 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":201:6:201:15|Object n_main_clk is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":202:12:202:21|Object active_mem is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":203:12:203:20|Object errorcode is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":205:12:205:21|Object successful is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":208:12:208:25|Object clock_1MHZ_ctr is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":212:12:212:21|Object clock_1MHZ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":213:13:213:22|Object clock_1KHZ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":214:13:214:23|Object clock_500MS is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":217:23:217:37|Object PWM_div_counter is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":218:23:218:41|Object PWM_CH1_compare_reg is declared but not assigned. Either assign a value or remove the declaration.
