@W: CS133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":137:30:137:41|Ignoring property syn_preserve
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":186:13:186:19|Object PWM_CH1 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":187:13:187:19|Object PWM_CH2 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":188:13:188:19|Object PWM_CH3 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":189:13:189:19|Object PWM_CH4 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":203:6:203:15|Object n_main_clk is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":204:12:204:21|Object active_mem is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":205:12:205:20|Object errorcode is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":207:12:207:21|Object successful is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":208:5:208:10|Object opcode is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":210:12:210:25|Object clock_1MHZ_ctr is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":214:12:214:21|Object clock_1MHZ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":215:13:215:22|Object clock_1KHZ is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":216:13:216:23|Object clock_500MS is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":219:23:219:37|Object PWM_div_counter is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":220:23:220:41|Object PWM_CH1_compare_reg is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":221:23:221:41|Object PWM_CH2_compare_reg is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":222:23:222:41|Object PWM_CH3_compare_reg is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":223:23:223:41|Object PWM_CH4_compare_reg is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":227:12:227:26|Object SPI1_8_data_out is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":228:12:228:25|Object SPI1_8_data_in is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":231:13:231:28|Object SPI1_16_data_out is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":232:13:232:27|Object SPI1_16_data_in is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":247:23:247:32|Object AddressBus is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":253:23:253:33|Object branch_addr is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":255:6:255:14|Object n_BUTTON0 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":256:6:256:14|Object n_BUTTON1 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":257:6:257:12|Object n_LED_G is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":258:6:258:12|Object n_LED_B is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":259:6:259:12|Object n_LED_R is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":272:12:272:18|Object tx_data is declared but not assigned. Either assign a value or remove the declaration.
